"lemma","présent","passécomposé","futur","subjonctif"
"absoudre","j`absous, nous absolvons","j`ai absous","j`absoudrai","que j`absolve"
"dissoudre","je dissous, nous dissolvons","j`ai dissous","je dissoudrai","que je dissolve"
"résoudre","je résous, nous résolvons","j`ai résous","je résoudrai","que je résolve"
"acquérir","j`acquiers, nous acquérons","j`ai acquis","j`acquerrai","que j`acquière"
"conquérir","je conquiers, nous conquérons","j`ai conquis","je conquerrai","que je conquière"
"quérir","je quiers, nous quérons","j`ai quis","je querrai","que je quière"
"reconquérir","je reconquiers, nous reconquérons","j`ai reconquis","je reconquerrai","que je reconquière"
"requérir","je requiers, nous requérons","j`ai requis","je requerrai","que je requière"
"aller","je vais, nous allons","je suis allé","j'irai","que j'aille, que nous allions"
"assaillir","j`assaille","j`ai assailli","j`assaillerai","que j`assaille"
"saillir","je saille","j`ai sailli","je saillerai","que je saille"
"tressaillir","je tressaille","j`ai tressailli","je tressaillerai","que je tressaille"
"asseoir","j`assieds/j`assois, nous asseyons/nous assoyons","j`ai assis","j`assiérai/j`assoirai","que j`asseye/que j`assoie"
"s'asseoir","je m`assieds/je m`assois, nous nous asseyons/nous nous assoyons","je me suis assis","je m`assiérai/je m`assoirai","que je m`asseye/que je m`assoie"
"rasseoir","je rassieds/je rassois, nous rasseyons/nous rassoyons","j`ai rassis","je rassiérai/je rassoirai","que je rasseye/que je rassoie"
"avoir","j'ai, nous avons","j'ai eu","j'aurai","que j'aie, que nous ayons"
"battre","je bats, nous battons","j`ai battu","je battrai","que je batte"
"abattre","j`abats, nous abattons","j`ai abattu","j`abattrai","que j`abatte"
"combattre","je combats, nous combattons","j`ai combattu","je combattrai","que je combatte"
"contre-battre","je contre-bats, nous contre-battons","j`ai contre-battu","je contre-battrai","que je contre-batte"
"débattre","je débats, nous débattons","j`ai débattu","je débattrai","que je débatte"
"s’ébattre","je me bats, nous nous battons","je me suis battu","je me battrai","que je me batte"
"embattre","j`embats, nous embattons","j`ai embattu","je embattrai","que j`embatte"
"rabattre","je rabats, nous rabattons","j`ai rabattu","je rabattrai","que je rabatte"
"rebattre","je rebats, nous rebattons","j`ai rebattu","je rebattrai","que je rebatte"
"boire","je bois, nous buvons","j'ai bu","je boirai","que je boive, que nous buvions"
"emboire","j`embois, nous embuvons","j'ai embu","j`emboirai","que j`emboive, que nous embuvions"
"bouillir","je bous, nous bouillons","j`ai bouilli","je bouillirai","que je bouille"
"débouillir","je débous, nous débouillons","j`ai débouilli","je débouillirai","que je débouille"
"rebouillir","je rebous, nous rebouillons","j`ai rebouilli","je rebouillirai","que je rebouille"
"choir","je chois, nous choyons","j`ai chu","je choirai","que je choie, que nous choyions"
"déchoir","je déchois, nous déchoyons","j`ai déchu","je déchoirai","que je déchoie, que nous déchoyions"
"échoir","j`échois, nous échoyons","j`ai échu/je suis échu","j`échoirai/j`écherrai","que j`échoie, que nous échoyions"
"clore","je clos, il clôt, nous closons","j`ai clos","je clorai","que je close"
"déclore","je déclos, nous déclosons","j`ai déclos","je déclorai","que je déclose"
"éclore","j`éclos, nous éclosons","j`ai éclos","j`éclorai","que j`éclose"
"enclore","j`enclos, nous enclosons","j`ai enclos","j`enclorai","que j`enclose"
"forclore","je forclos, il forclôt, nous forclosons","j`ai forclos","je forclorai","que je forclose"
"conclure","je conclus","j`ai conclu","je conclurai","que je conclue"
"exclure","j`exclus","j`ai exclu","j`exclurai","que j`exclue"
"inclure","j`inclus","j`ai inclu","j`inclurai","que j`inclue"
"occlure","j`occlus","j`ai occlu","j`occlurai","que j`occlue"
"reclure","je reclus","j`ai reclu","je reclurai","que je reclue"
"confire","je confis","j`ai confit","je confirai","que je confise"
"déconfire","je déconfis","j`ai déconfit","je déconfirai","que je déconfise"
"circoncire","je circoncis","j`ai circoncis","je circoncirai","que je circoncise"
"frire","je fris","j`ai frit","je frirai","que je frise"
"suffire","je suffis","j`ai suffi","je suffirai","que je suffise"
"connaître","je connais, nous connaissons","j’ai connu","je connaîtrai","que je connaisse"
"méconnaître","je méconnais, nous méconnaissons","j’ai méconnu","je méconnaîtrai","que je méconnaisse"
"reconnaître","je reconnais, nous reconnaissons","j’ai reconnu","je reconnaîtrai","que je reconnaisse"
"paraître","je parais, nous paraissons","j’ai paru","je paraîtrai","que je paraisse"
"apparaître","j`apparais, nous apparaissons","j’ai apparu","je apparaîtrai","que j`apparaisse"
"comparaître","je comparais, nous comparaissons","j’ai comparu","je comparaîtrai","que je comparaisse"
"disparaître","je disparais, nous disparaissons","j’ai disparu","je disparaîtrai","que je disparaisse"
