Infinitivo;Presente de Indicativo ; Preterito indefinido de indicativo;Participio pasado
acertar;acierto;acerte;acertado
adquirir;adquiero;adquiri;adquirido
agradecer;agradezco;agradeci;agradecido
andar;ando;anduve;andado
aparecer;aparezco;apareci;aparecido
apretar;aprieto;aprete;apretado
asir;asgo;asi;asido
avergonzar;avergenzo;avergonce;avergonzado
averiguar;averiguo;averige;averiguado
caber;quepo;cupe;cabido
caer;caigo;cai;caido
calentar;caliento;calente;calentado
ceir;cio;cei;ceido
cerrar;cierro;cerre;cerrado
cocer;cuezo;coci;cocido
confesar;confieso;confese;confesado
colgar;cuelgo;colgue;colgado
comenzar;comienzo;comence;comenzado
condusir;conduzco;conduje;conducido
conocer;conozco;conoci;conocido
construir;construyo;construi;construido
contar;cuento;conte;contado
corregir;corrijo;corregi;corregido
crecer;crezco;creci;crecido
dar;doy;di;dado
decir;digo;dije;dicho
defender;defiendo;defendi;defendido
delinquir;delinco;delinqui;delinquido
despertar;despierto;desperte;despertado
dirigir;dirijo;dirigi;dirigido
distinguir;distingo;distingui;distinguido
divertir;divierto;diverti;divertido
dormir;duermo;dormi;dormido
empeller;empello;empelli;empellido
encontrar;encuentro;encontre;encontrado
entender;entiendo;entendi;ententido
elegir;eligo;elegi;elegido
empezar;empiezo;empece;empezado
erguir;irgo\yergo;ergui;erguido
errar;yerro;erre;errado
establecer;establezco;estableci;establecido
estar;estoy;estuve;estado
favorecer;favorezco;favoreci;favorecido
fortalecer;fortalezco;fortaleci;fortalecido
forzar;fuerzo;force;forzado
haber;he;hube;habido
hacer;hago;hice;hecho
hervir;hiervo;hervi;hervido
huir;huyo;hui;huido
jugar;juego;jugue;jugado
incluir;incluyo;inclui;incluido
influir;influyo;influi;influido
inquirir;inquiero;inquiri;inquirido
leer;leo;lei;leido
lucir;luzco;luci;lucido
mecer;mezo;meci;mecido
mentir;miento;menti;mentido
morir;muero;mori;muerto
mover;moevo;movi;movido
muir;muo;mui;muido
nacer;nazco;naci;nacido
ofrecer;ofrezco;ofreci;ofrecido
oir;oigo;oi;oido
oler;huelo;oli;olido
pagar;pago;pague;pagado
poder;puedo;pude;pudido
placer;plazco;placi;placido
poner;pongo;puse;puesto
preferir;prefiero;preferi;preferido
producir;produzco;produje;producido
proteger;protejo;protegi;protegido
querer;quiero;quise;quierido
realizer;realizo;realice;realizado
reducir;reduzco;reduje;reducido
regar;riego;regue;regado
reir;rio;rei;reido
roer;roo, roigo;roi;roido
saber;se;supe;sabido
sacar;saca;saque;sacado
salir;salgo;Sali;salido
satisfacer;satisfago;satisfice;satisfacido
sequir;sigo;segui;seguido
sentir;siento;senti;sentido
ser;soy;fui;sido
servir;sirvo;servi;servido
substituir;substituyo;substitui;substituido
tener;tengo;tuve;tenido
traducir;traduzco;traduje;traducido
traer;traigo;traje;traido
trocar;trueco;troque;trocado
valer;valgo;vali;valido
venir;vengo;vine;venido
ver;veo;vi;visto
volar;vuelo;vole;volado
volver;vuelvo;volvi;vuelto
yacer;yazco\yazgo;yaci;yacido
zurcir;zurzo;zurci;zurcido
